Pos,Team,Manager,Pts
1,We are the competition,lou-mih,185
2,Blue Flag Racing,pgmotts,181
3,Maximum Points,Max Cutter,176
4,Box Box Box,fooch,166
5,Snoopy,JR10044,159
6,Team Caterham,Adrian Jenkins,158
7,Renault F1,PJF1,156
7,Save The Engine,RichardS,156
9,Ferrari strategy department,Goodie,150
10,Murrays Mayhem,Martin West,145
